-49985.0,-2585.0,-24105.0,Eoch Eoch
-48705.0,-2585.0,-24105.0,Eord Eoch
-47425.0,-2585.0,-24105.0,Eoch Eord
-46145.0,-2585.0,-24105.0,Tyroms
-44865.0,-2585.0,-24105.0,Tyrow
-43585.0,-2585.0,-24105.0,Tyrorr
-42305.0,-2585.0,-24105.0,Eorld Eord
-41025.0,-2585.0,-24105.0,Eok Eord
-39745.0,-2585.0,-24105.0,Tyrors
-38465.0,-2585.0,-24105.0,Eord Eorld
-37185.0,-2585.0,-24105.0,Bloct
-35905.0,-2585.0,-24105.0,Eord Eok
-34625.0,-2585.0,-24105.0,Blohs
-33345.0,-2585.0,-24105.0,Blorbs
-32065.0,-2585.0,-24105.0,Eorld Eok
-30785.0,-2585.0,-24105.0,Blotts
-29505.0,-2585.0,-24105.0,Blov
-28225.0,-2585.0,-24105.0,Eock Eoch
-26945.0,-2585.0,-24105.0,Bloms
-25665.0,-2585.0,-24105.0,Eock Eord
-24385.0,-2585.0,-24105.0,Blorr
-23105.0,-2585.0,-24105.0,Eol Eoch
-21825.0,-2585.0,-24105.0,Eorgh Eord
-20545.0,-2585.0,-24105.0,Blors
-19265.0,-2585.0,-24105.0,Blocy
-17985.0,-2585.0,-24105.0,Bloy
-16705.0,-2585.0,-24105.0,Eolls Eok
-15425.0,-2585.0,-24105.0,Bloz
-14145.0,-2585.0,-24105.0,Eorgh Eorld
-12865.0,-2585.0,-24105.0,Eol Eorld
-11585.0,-2585.0,-24105.0,Blomy
-10305.0,-2585.0,-24105.0,Eol Eok
-9025.0,-2585.0,-24105.0,Blonks
-7745.0,-2585.0,-24105.0,Eord Eolls
-6465.0,-2585.0,-24105.0,Eoch Eock
-5185.0,-2585.0,-24105.0,Eord Eock
-3905.0,-2585.0,-24105.0,Blosh
-2625.0,-2585.0,-24105.0,Blonk
-1345.0,-2585.0,-24105.0,Eorld Eock
-65.0,-2585.0,-24105.0,Blonn
1215.0,-2585.0,-24105.0,Blods
